Country Name;Country Code;Tipping_Point_Year;Fertility_At_Tipping_Point;Fertility_Current;Fertility_Current_Year;CO2_At_Tipping_Point;CO2_Current;CO2_Current_Year
Sri Lanka;LKA;2015;2,09;1,974;2023;0,883;0,901;2024,0
Mexico;MEX;2016;2,086;1,91;2023;3,917;3,523;2024,0
Guadeloupe;GLP;2017;2,082;2,089;2023;;;
Argentina;ARG;2018;2,067;1,5;2023;4,087;3,743;2024,0
Nepal;NPL;2019;2,08;1,984;2023;0,449;0,633;2024,0
Peru;PER;2019;2,086;1,98;2023;1,808;2,053;2024,0
Ecuador;ECU;2019;2,035;1,823;2023;2,312;2,535;2024,0
India;IND;2020;2,047;1,975;2023;1,727;2,201;2024,0
Philippines;PHL;2020;2,075;1,916;2023;1,173;1,51;2024,0
Belize;BLZ;2020;2,04;2,007;2023;1,672;1,909;2024,0
Cook Islands;COK;2021;2,087;2,045;2023;4,819;5,824;2024,0
Venezuela;VEN;2022;2,088;2,079;2023;3,843;4,085;2024,0
United States Virgin Islands;VIR;2023;2,09;2,09;2023;;;
